Name,Nation,NationStatus,Active,Club,Field 1 (from Club),Division,Position,Foot,Mentality,Primary,Secondary,Model,Level,ClubStatus,Transfer Status
Sammie Szmodics,Ireland,,checked,Blackburn Rovers,England,Championship,CM,Right,Attacking,Creator,Engine,Catalyst,85,,
Semr Telalovic,Germany,,checked,Blackburn Rovers,England,Championship,CF,Right,Attacking,Striker,Sprinter,Rocket,82,,
Jordan Rhodes,England,,checked,Blackpool,England,Championship,CF,Right,Attacking,Striker,Aerial,Finisher,83,,
CJ Hamilton,Ireland,,checked,Blackpool,England,Championship,WM,,Attacking,Dribbler,Sprinter,Winger,81,,
Jack Moore,England,,checked,Blackpool,England,Championship,CD,Right,Cautious,Stopper,Cover,Shield,76,,
Jordan Gabriel,England,,checked,Blackpool,England,Championship,WD ,Right,Cautious,Engine,Cover,Dynamo,82,,
Albie Morgan,England,,checked,Blackpool,England,Championship,CM,Right,Attacking,Creator,Dribbler,Magician,82,,
Jake Daniels,England,,checked,Blackpool,England,Championship,CF,Right,Attacking,Striker,Engine,Poacher,80,,
James Husband,England,,checked,Blackpool,England,Championship,WD ,Left,Balanced,Cover,Stopper,Terrier,84,,
Kyle Joseph,Scotland,,checked,Blackpool,England,Championship,CF,Left,Balanced,Striker,Powerhouse,Hitman,82,,
Dan Sassi,England,,checked,Blackpool,England,Championship,CD,Right,Cautious,Stopper,Cover,Shield,80,,
Alex Lankshear,England,,checked,Blackpool,England,Championship,WD ,Left,Cautious,Sprinter,Cover,Flanker,78,,
Tayt Trusty,England,,checked,Blackpool,England,Championship,CM,Right,Attacking,Controller,Passer,Regista,79,,
Dannen Francis,England,,checked,Blackpool,England,Championship,WM,Right,Attacking,Dribbler,Sprinter,Winger,81,,
Kwaku Donkor,England,,checked,Blackpool,England,Championship,CD,Right,Balanced,Stopper,Cover,Shield,80,,
Marvin Ekpiteta,England,,checked,Blackpool,England,Championship,CD,Right,Cautious,Aerial,Powerhouse,Bulldozer,83,,
Shayne Lavery,,,checked,Blackpool,England,Championship,CF,Right,Attacking,Striker,Sprinter,Rocket,83,,
Daniel Grimshaw,England,,checked,Blackpool,England,Championship,GK,Right,Cautious,Sweeper,Distributor,Safeguard,83,,
Luke Mariette,Wales,,checked,Blackpool,England,Championship,CM,Left,Balanced,Dribbler,Creator,Wizard,82,,
Mackenzie Chapman,England,,checked,Blackpool,England,Championship,GK,Right,Cautious,Sweeper,Distributor,Safeguard,79,,
Richard O'Donnell,England,,checked,Blackpool,England,Championship,GK,Left,Balanced,Sweeper,Distributor,Safeguard,81,,
Rob Apter,Scotland,,checked,Blackpool,England,Championship,WD ,Left,Attacking,Dribbler,Creator,Wizard,84,,
Matty Virtue,England,,checked,Blackpool,England,Championship,WM,Right,Balanced,Engine,Controller,Box-To-Box,83,,
Callum Connolly,England,,checked,Blackpool,England,Championship,WD ,Left,Cautious,Stopper,Cover,Shield,84,,
Dominic Thompson,England,,checked,Blackpool,England,Championship,WD ,Left,Balanced,Engine,Sprinter,Shuttler,83,,
Jake Beesley,England,,checked,Blackpool,England,Championship,CF,Right,Attacking,Powerhouse,Aerial,Dominator,83,,
Brad Holmes,England,,checked,Blackpool,England,Championship,CF,Right,Attacking,Striker,Powerhouse,Hitman,79,,
Will Squires,England,,checked,Blackpool,England,Championship,CD,Right,Cautious,Stopper,Aerial,Centre Back,80,,
Oliver Casey,England,,checked,Blackpool,England,Championship,CD,Right,Balanced,Stopper,Aerial,Centre Back,83,,
Matteo Spinelli,England,,checked,Blackpool,England,Championship,GK,Right,Balanced,Aerial,Acrobat,Custodian,77,,
Ryan Finnigan,England,,checked,Blackpool,England,Championship,CM,Right,Balanced,Controller,Creator,Metronome,80,,
Matthew Pennington,England,,checked,Blackpool,England,Championship,CD,Right,Balanced,Stopper,Engine,Disruptor,83,,
Kylian Kouassi,England,,checked,Blackpool,England,Championship,WF,Left,Attacking,Powerhouse,Aerial,Dominator,82,,
Sonny Carey,England,,checked,Blackpool,England,Championship,CM,Right,Balanced,Creator,Engine,Catalyst,82,,
Andy Lyons,Ireland,,checked,Blackpool,England,Championship,WD ,Right,Balanced,Engine,Sprinter,Shuttler,83,,
Oliver Norburn,Grenada,,checked,Blackpool,England,Championship,CM,Right,Balanced,Engine,Stopper,Destroyer,84,,
Josh Sheehan,Wales,,checked,"""Bolton Wanderers
""",England,League One,CM,Right,Attacking,Creator,Engine,Catalyst,85,,
Jack Iredale,Scotland,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Conor Carty,Ireland,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Kyle Dempsey,England,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Aaron Collins,Wales,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Dion Charles,Northern Ireland,,checked,"""Bolton Wanderers
""",England,League One,CF,Right,Attacking,Striker,Powerhouse,Hitman,84,,
Joel Coleman,England,,checked,"""Bolton Wanderers
""",England,League One,GK,,,,,,,,
Carlos Mendes Gomes,Guinea-Bissau,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Aaron Morley,England,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Nelson Khumbeni,Malawi,,checked,"""Bolton Wanderers
""",England,,,,,,,,,,
Gethin Jones,Australia,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Declan John,Wales,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Eoin Toal,,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Ricardo Santos,Portugal,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Cameron Jerome,England,,checked,"""Bolton Wanderers
""",England,League One,CF,Right,Attacking,Striker,Sprinter,Rocket,,,
Josh Dacres-Cogley,England,,checked,"""Bolton Wanderers
""",England,League One,WD ,Right,Balanced,Engine,Cover,Dynamo,85,,
Jón Daði Böðvarsson,Iceland,,checked,"""Bolton Wanderers
""",England,League One,CF,,,,,,,,
Dan Nlundulu,England,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
George Johnston,Scotland,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Luke Hutchinson,England,,checked,"""Bolton Wanderers
""",England,League One,GK,,,,,,,,
Randell Williams,England,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
George Thomason,England,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Nathan Baxte,England,,checked,"""Bolton Wanderers
""",England,League One,GK,,,,,,,,
Will Forrester,England,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Victor Adeboyejo,Nigeria,,checked,"""Bolton Wanderers
""",England,League One,,,,,,,,,
Dominic Solanke,England,,checked,Bournemouth,England,Premier League,CF,Right,Balanced,Powerhouse,Striker,Rifle,87,,
Tyler Adams,United States,,checked,Bournemouth,England,Premier League,CM,Right,Balanced,Engine,Stopper,Destroyer,87,,
Lewis Cook,England,,checked,Bournemouth,England,Premier League,CM,Right,Balanced,Engine,Controller,Box-To-Box,85,,
Alex Scott,England,,checked,Bournemouth,England,Premier League,CM,Right,Balanced,Creator,Engine,Catalyst,85,,
Mark Travers,Ireland,,checked,Bournemouth,England,Premier League,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,83,,
Ryan Fredericks,England,,checked,Bournemouth,England,Premier League,WD ,Right,Balanced,Sprinter,Engine,Raider,84,,
Marcos Senesi,Argentina,,checked,Bournemouth,England,Premier League,CD,Right,Balanced,Stopper,Commander,Leader,86,,
Justin Kluivert,Netherlands,,checked,Bournemouth,England,Premier League,CM,Right,Attacking,Creator,Sprinter,Hurricane,87,,
Philip Billing,Denmark,,checked,Bournemouth,England,Premier League,CM,Left,Balanced,Powerhouse,Creator,Spearhead,86,,
James Hill,England,,checked,Bournemouth,England,Premier League,CD,Right,Balanced,Stopper,Powerhouse,Gladiator,83,,
Lloyd Kelly,England,,checked,Bournemouth,England,Premier League,CD,Left,Balanced,Stopper,Controller,Lynchpin,84,,
Romain Faivre,France,,checked,Bournemouth,England,Premier League,CM,Left,Balanced,Creator,Dribbler,Magician,85,,
Ryan Christie,Scotland,,checked,Bournemouth,England,Premier League,CM,Left,Balanced,Engine,Creator,Raumdeuter,86,Starter,
Adam Smith,England,,checked,Bournemouth,England,Premier League,WD ,Right,Balanced,Engine,Commander,Driver,85,,
Antoine Semenyo,Ghana,,checked,Bournemouth,England,Premier League,WF,Right,Attacking,Sprinter,Dribbler,Spark,86,,
Luis Sinisterra,Colombia,,checked,Bournemouth,England,Premier League,WF,Right,Attacking,Sprinter,Dribbler,Spark,85,,
Darren Randolph,Ireland,,checked,Bournemouth,England,Premier League,GK,Right,Balanced,Acrobat,Commander,Spider,83,,
Max Aarons,England,,checked,Bournemouth,England,Premier League,WD ,Right,Balanced,Sprinter,Engine,Raider,85,,
Dominic Sadi,England,,checked,Bournemouth,England,Premier League,CM,Left,Attacking,Creator,Engine,Catalyst,83,,
Neto,Brazil,,checked,Bournemouth,England,Premier League,GK,Right,Balanced,Acrobat,Sweeper,Hawk,86,,
Ionut Radu,Romania,,checked,Bournemouth,England,Premier League,GK,Right,Cautious,Acrobat,Sweeper,Hawk,84,,
Enes Unal,Turkey,,checked,Bournemouth,England,Premier League,CF,Right,Attacking,Striker,Creator,Talisman,85,,
Chris Mepham,Wales,,checked,Bournemouth,England,Premier League,CD,Right,Balanced,Stopper,Cover,Shield,85,,
Illya Zabarnyi,Ukraine,Starter,checked,Bournemouth,England,Premier League,CD,Right,Balanced,Stopper,Cover,Shield,86,Starter,
Marcus Tavernier,England,,checked,Bournemouth,England,Premier League,WF,Left,Balanced,Creator,Dribbler,Magician,86,,
Dango Outtara,Burkina Faso,,checked,Bournemouth,England,Premier League,WF,Left,Attacking,Creator,Dribbler,Magician,86,,
Milos Kerkez,Hungary,,checked,Bournemouth,England,Premier League,WD ,Left,Attacking,Engine,Sprinter,Shuttler,87,,
David Brooks,Wales,,checked,Bournemouth,England,Premier League,WM,Left,Attacking,Dribbler,Creator,Wizard,85,,
Joe Rothwell,England,,checked,Bournemouth,England,Premier League,CM,Right,Attacking,Creator,Engine,Catalyst,85,,
Freddy Jeffreys,England,,checked,Bradford City,England,League Two,,,,,,,,,
Neill Byrne,Ireland,,checked,Bradford City,England,League Two,,,,,,,,,
Ciaran Kelly,Ireland,,checked,Bradford City,England,League Two,,Right,,,,,,,
Brad Halliday,England,,checked,Bradford City,England,League Two,WD ,Right,Balanced,Engine,Cover,Dynamo,85,,
Alex Pattison,England,,checked,Bradford City,England,League Two,,,,,,,,,
Lewis Richards,Ireland,,checked,Bradford City,England,League Two,,,,,,,,,
Callum Johnson,England,,checked,Bradford City,England,League Two,,,,,,,,,
Adam Wilson,England,,checked,Bradford City,England,League Two,,,,,,,,,
Tyler Smith,England,,checked,Bradford City,England,League Two,,,,,,,,,
Clarke Oduor,Kenya,,checked,Bradford City,England,League Two,,,,,,,,,
Finn Cousin-Dawson,,,checked,Bradford City,England,League Two,,,,,,,,,
Heath Richardson,England,,checked,Bradford City,England,League Two,GK,,,,,,,,
Matt Derbyshire,England,,checked,Bradford City,England,League Two,,Right,,,,,,,
Luke Hendrie,England,,checked,Bradford City,England,League Two,,,,,,,,,
Matthew Platt,England,,checked,Bradford City,England,League Two,,,,,,,,,
Richie Smallwood,England,,checked,Bradford City,England,League Two,,,,,,,,,
Colin Doyle,Ireland,,checked,Bradford City,England,League Two,GK,Right,,,,,,,
Andy Cook,England,,checked,Bradford City,England,League Two,,,,,,,,,
Noah Wadsworth,England,,checked,Bradford City,England,League Two,,,,,,,,,
Jake Young,England,,checked,Bradford City,England,League Two,,,,,,,,,
Antoni Sarcevic,England,,checked,Bradford City,England,League Two,,,,,,,,,
Liam Ridehalgh,England,,checked,Bradford City,England,League Two,,,,,,,,,
Harry Chapman,England,,checked,Bradford City,England,League Two,,,,,,,,,
Bobby Pointon,England,,checked,Bradford City,England,League Two,,,,,,,,,
Jamie Walker,Scotland,,checked,Bradford City,England,League Two,,,,,,,,,
Calum Kavanagh,Ireland,,checked,Bradford City,England,League Two,,,,,,,,,
Sam Stubbs,England,,checked,Bradford City,England,League Two,,,,,,,,,
Dylan Youmbi,England,,checked,Bradford City,England,League Two,,,,,,,,,
Sam Walker,England,,checked,Bradford City,England,League Two,GK,Right,,,,,,,
Alex Gilliead,England,,checked,Bradford City,England,League Two,,,,,,,,,
Vadaine Oliver,England,,checked,Bradford City,England,League Two,,,,,,,,,
Kevin McDonald,Scotland,,checked,Bradford City,England,League Two,,Right,,,,,,,
Harvey Rowe,Ireland,,checked,Bradford City,England,League Two,,,,,,,,,
Ben Mee,England,National Pool,checked,Brentford,England,Premier League,CD,Left,Cautious,Stopper,Cover,Shield,87,Starter,
Ivan Toney,England,Rotation,checked,Brentford,England,Premier League,CF,Right,Attacking,Aerial,Striker,Target,88,Key,
Bryan Mbeumo,Cameroon,Starter,checked,Brentford,England,Premier League,WF,Left,Attacking,Sprinter,Striker,Assassin,87,Key,
Mads Roerslev,Denmark,National Pool,checked,Brentford,England,Premier League,WD ,Right,Balanced,Engine,Sprinter,Shuttler,85,Starter,
Michael Olakigbe,England,Youth Radar,checked,Brentford,England,Premier League,WM,Right,Balanced,Sprinter,Dribbler,Spark,83,Wonderkid,
Yoane Wissa,DR Congo,Starter,checked,Brentford,England,Premier League,WF,Right,Balanced,Sprinter,Creator,Livewire,87,Starter,
Mathias Jensen,Denmark,Rotation,checked,Brentford,England,Premier League,CM,Right,Balanced,Controller,Passer,Regista,87,Starter,
Rico Henry,England,National Pool,checked,Brentford,England,Premier League,WD ,Left,Attacking,Sprinter,Engine,Raider,86,Starter,
Mark Flekken,Netherlands,Rotation,checked,Brentford,England,Premier League,GK,Right,Balanced,Acrobat,Orthodox,Shotstopper,86,,
Mathias Jorgensen,Denmark,Squad,checked,Brentford,England,Premier League,CD,Right,Balanced,Stopper,Commander,Leader,85,Squad,
Saman Ghoddos,Iran,,checked,Brentford,England,Premier League,WM,Right,Balanced,Creator,Dribbler,Magician,84,Rotation,
Yehor Yarmoliuk,Ukraine,,checked,Brentford,England,Premier League,CM,Right,Balanced,Engine,Controller,Box-To-Box,85,Rotation,
Vitaly Janelt,Germany,National Pool,checked,Brentford,England,Premier League,CM,Left,Balanced,Engine,Commander,Driver,85,Rotation,
Kevin Schade,Germany,Reserve,checked,Brentford,England,Premier League,WF,Right,Attacking,Sprinter,Striker,Assassin,86,,
Christian Nørgaard,Denmark,Rotation,checked,Brentford,England,Premier League,CM,Right,Cautious,Cover,Commander,Volante,87,Key,
Keane Lewis-Potter,England,National Pool,checked,Brentford,England,Premier League,WF,Right,Attacking,Creator,Dribbler,Magician,84,,
Thomas Strakosha,Albania,Rotation,checked,Brentford,England,Premier League,GK,Right,Balanced,Acrobat,Orthodox,Shotstopper,86,Squad,
Nathan Collins,Ireland,Starter,checked,Brentford,England,Premier League,CD,Right,Balanced,Aerial,Powerhouse,Bulldozer,85,Starter,
Mikkel Damsgaard,Denmark,Rotation,checked,Brentford,England,Premier League,CM,Right,Attacking,Creator,Engine,Catalyst,86,Rotation,
Kristoffer Ajer,Norway,Starter,checked,Brentford,England,Premier League,CD,Right,Balanced,Aerial,Engine,Juggernaut,85,Rotation,
Shandon Baptiste,Grenada,,checked,Brentford,England,Premier League,CM,Right,Balanced,Engine,Creator,Raumdeuter,83,Squad,
Josh Dasilva,England,Not Considered,checked,Brentford,England,Premier League,CM,Left,Attacking,Creator,Engine,Catalyst,84,,
Ethan Pinnock,England,National Pool,checked,Brentford,England,Premier League,CD,Left,Cautious,Stopper,Aerial,Centre Back,87,Starter,
Aaron Hickey,Scotland,Rotation,checked,Brentford,England,Premier League,WD ,Right,Balanced,Sprinter,Cover,Flanker,86,Starter,
Frank Onyeka,Nigeria,,checked,Brentford,England,Premier League,CM,Right,Balanced,Engine,Stopper,Destroyer,85,Rotation,
Yunus Emre Konak,Turkey,,checked,Brentford,England,Premier League,CM,,,,,,84,Wonderkid,
Ethan Laidlaw,Scotland,Youth Team,checked,Brentford,England,Premier League,CF,,,,,,83,Wonderkid,
Adam Webster,England,,checked,Brighton,England,Premier League,CD,Right,Balanced,Stopper,Controller,Lynchpin,86,,
Tariq Lamptey,England,,checked,Brighton,England,Premier League,WD ,Right,Attacking,Sprinter,Cover,Flanker,86,,
Danny Welbeck,England,,checked,Brighton,England,Premier League,CF,Right,Balanced,Powerhouse,Striker,Rifle,86,,
Lewis Dunk,England,Rotation,checked,Brighton,England,Premier League,CD,Right,Balanced,Stopper,Controller,Lynchpin,87,Key,
Kaoru Mitoma,Japan,Starter,checked,Brighton,England,Premier League,WF,Right,Attacking,Dribbler,Sprinter,Winger,88,Rotation,
Shane Duffy,Ireland,,checked,Brighton,England,Premier League,CD,Right,Cautious,Stopper,Aerial,Centre Back,84,,
Pascal Groß,Germany,Rotation,checked,Brighton,England,Premier League,CM,Right,Balanced,Engine,Creator,Raumdeuter,88,Starter,
Joel Veltman,Netherlands,,checked,Brighton,England,Premier League,WD ,Right,Balanced,Cover,Controller,Sweeper,86,,
Solly March,England,,checked,Brighton,England,Premier League,WM,Left,Balanced,Creator,Engine,Catalyst,85,,
Evan Ferguson,Ireland,,checked,Brighton,England,Premier League,CF,Right,Balanced,Striker,Aerial,Finisher,87,,
Pervis Estupinan,Ecuador,,checked,Brighton,England,Premier League,WD ,Left,Attacking,Sprinter,Cover,Flanker,88,,
Ansu Fati,Spain,,checked,Brighton,England,Premier League,WF,Right,Attacking,Creator,Dribbler,Magician,86,,
Joao Pedro,Brazil,,checked,Brighton,England,Premier League,CF,Right,Attacking,Creator,Striker,Fantasista,87,,
Simon Adingra,Côte d’Ivoire,,checked,Brighton,England,Premier League,WF,Right,Attacking,Dribbler,Creator,Wizard,87,,
Jason Steele,England,,checked,Brighton,England,Premier League,GK,Right,Balanced,Acrobat,Commander,Spider,85,,
Julio Enciso,Paraguay,,checked,Brighton,England,Premier League,CM,Right,Attacking,Creator,Dribbler,Magician,86,,
James Milner,England,,checked,Brighton,England,Premier League,CM,Right,Balanced,Engine,Commander,Driver,87,,
Mohmoud Dahoud,Germany,,checked,Brighton,England,Premier League,CM,Right,Balanced,Controller,Passer,Regista,86,,
Facundo Buonanotte,Argentina,,checked,Brighton,England,Premier League,CM,Left,Attacking,Creator,Engine,Catalyst,85,,
Billy Gilmour,Scotland,,checked,Brighton,England,Premier League,CM,Right,Balanced,Controller,Passer,Regista,86,,
Bart Verbruggen,Netherlands,,checked,Brighton,England,Premier League,GK,Right,Balanced,Distributor,Acrobat,Point Guard,87,,
Jan Paul van Hecke,Netherlands,,checked,Brighton,England,Premier League,CD,Right,Balanced,Stopper,Controller,Lynchpin,85,,
Jakub Moder,Poland,,checked,Brighton,England,Premier League,CM,Right,Balanced,Engine,Creator,Raumdeuter,85,,
Igor,Brazil,,checked,Brighton,England,Premier League,CD,Left,Balanced,Powerhouse,Stopper,Enforcer,86,,
Valentin Barco,Argentina,,checked,Brighton,England,Premier League,WM,Left,Balanced,Engine,Controller,Box-To-Box,85,Wonderkid,
Mahmoud Dahoud,Syria,,checked,Brighton,England,Premier League,CM,Right,Balanced,Controller,Passer,Regista,85,,
Jack Hinshelwood,England,,checked,Brighton,England,Premier League,CM,Right,Balanced,Engine,Controller,Box-To-Box,85,Wonderkid,
Sophie Baggaley,England,,checked,Brighton WFC,England,WSL,GK,,Cautious,,,,,,
Katie Robinson,England,,checked,Brighton WFC,England,WSL,,,,,,,,,
Li Mengwen,China,,checked,Brighton WFC,England,WSL,,,,,,,,,
Naomi Layzell,England,,checked,Brighton WFC,England,WSL,,,,,,,,,
Fran Bentley,England,,checked,Brighton WFC,England,WSL,GK,,Cautious,,,,,,
Carrie Jones,Wales,,checked,Brighton WFC,England,WSL,,,,,,,,,
Rachel Furness,,,checked,Brighton WFC,England,WSL,,,,,,,,,
Sarah Stratigakis,Canada,,checked,Brighton WFC,England,WSL,,,,,,,,,
Jorelyn Carabalí,Colombia,,checked,Brighton WFC,England,WSL,,,,,,,,,
